[2024-06-18 16:29:57] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\dato_curso.php:18] | ID de curso no proporcionado
[2024-06-18 16:30:30] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\dato_curso.php:18] | ID de curso no proporcionado
[2024-06-18 16:31:55] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\dato_curso.php:18] | ID de curso no proporcionado
[2024-06-18 16:37:42] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\dato_curso.php:18] | ID de curso no proporcionado
[2024-06-21 01:54:05] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\dato_curso.php:18] | ID de curso no proporcionado
[2024-06-21 01:57:15] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\dato_curso.php:18] | ID de curso no proporcionado
[2024-06-21 02:00:14] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\dato_curso.php:18] | ID de curso no proporcionado
[2024-06-21 02:04:19] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\dato_curso.php:18] | ID de curso no proporcionado
[2024-06-21 02:04:36] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\dato_curso.php:18] | ID de curso no proporcionado
[2024-06-21 09:58:48] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-anio-carrera.php:18] | ID de carrera no proporcionado
[2024-06-21 10:00:17] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-anio-carrera.php:18] | ID de carrera no proporcionado
[2024-06-21 10:00:37] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-anio-carrera.php:18] | ID de carrera no proporcionado
[2024-06-21 10:01:28] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-anio-carrera.php:63] | No hay anios registrados
[2024-06-21 10:03:29] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-anio-carrera.php:65] | No hay anios registrados
[2024-06-21 10:04:36] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-anio-carrera.php:18] | ID de carrera no proporcionado
